id,Date,Type,SourceSystem,billable,daily_entries,daily_datasize_GB,daily_ingestion_cost,daily_retention_cost,daily_logging_cost,Retention Days (param),Retention Cost (param),Ingestion Cost (param)
1,2022-10-26T00:00:00Z,AzureDiagnostics,Azure,TRUE,9521724,17.14411108,89.49225983,6.083267065,95.5755269,180,0.12,5.22
2,2022-10-23T00:00:00Z,AzureDiagnostics,Azure,TRUE,9528291,17.13800638,89.46039332,6.081100928,95.54149424,180,0.12,5.22
3,2022-10-22T00:00:00Z,AzureDiagnostics,Azure,TRUE,9515265,17.12245597,89.37922018,6.075583156,95.45480334,180,0.12,5.22
4,2022-10-25T00:00:00Z,AzureDiagnostics,Azure,TRUE,9507747,17.11784786,89.35516583,6.073948053,95.42911389,180,0.12,5.22
5,2022-10-24T00:00:00Z,AzureDiagnostics,Azure,TRUE,9509689,17.1064472,89.29565441,6.069902744,95.36555715,180,0.12,5.22
6,2023-01-12T00:00:00Z,AzureDiagnostics,Azure,TRUE,8362648,16.87861065,88.10634757,5.989059203,94.09540677,180,0.12,5.22
7,2023-01-09T00:00:00Z,AzureDiagnostics,Azure,TRUE,8271384,16.7965506,87.67799413,5.959941731,93.63793586,180,0.12,5.22
8,2023-01-14T00:00:00Z,AzureDiagnostics,Azure,TRUE,8335131,16.75051357,87.43768085,5.943606353,93.3812872,180,0.12,5.22
9,2023-01-13T00:00:00Z,AzureDiagnostics,Azure,TRUE,8310666,16.74745385,87.4217091,5.942520669,93.36422977,180,0.12,5.22
10,2022-12-22T00:00:00Z,AzureDiagnostics,Azure,TRUE,8240501,16.72030003,87.27996616,5.932885644,93.2128518,180,0.12,5.22
11,2022-12-21T00:00:00Z,AzureDiagnostics,Azure,TRUE,8235965,16.71018402,87.22716059,5.929296167,93.15645676,180,0.12,5.22
12,2022-12-31T00:00:00Z,AzureDiagnostics,Azure,TRUE,8238861,16.69986417,87.17329098,5.925634362,93.09892534,180,0.12,5.22
13,2023-01-11T00:00:00Z,AzureDiagnostics,Azure,TRUE,8307443,16.69399884,87.14267395,5.923553158,93.06622711,180,0.12,5.22
14,2023-01-10T00:00:00Z,AzureDiagnostics,Azure,TRUE,8231890,16.68496652,87.09552526,5.92034821,93.01587347,180,0.12,5.22
15,2023-01-08T00:00:00Z,AzureDiagnostics,Azure,TRUE,8219128,16.68183617,87.07918478,5.919237461,92.99842224,180,0.12,5.22
16,2023-01-07T00:00:00Z,AzureDiagnostics,Azure,TRUE,8224384,16.67924301,87.0656485,5.918317327,92.98396583,180,0.12,5.22
17,2022-12-29T00:00:00Z,AzureDiagnostics,Azure,TRUE,8223514,16.67729975,87.05550468,5.917627797,92.97313248,180,0.12,5.22
18,2023-01-05T00:00:00Z,AzureDiagnostics,Azure,TRUE,8216092,16.67331347,87.03469629,5.91621334,92.95090963,180,0.12,5.22
19,2022-12-20T00:00:00Z,AzureDiagnostics,Azure,TRUE,8205970,16.66659294,86.99961515,5.913828687,92.91344384,180,0.12,5.22
20,2022-12-28T00:00:00Z,AzureDiagnostics,Azure,TRUE,8215815,16.66573205,86.99512129,5.913523216,92.90864451,180,0.12,5.22
21,2022-12-27T00:00:00Z,AzureDiagnostics,Azure,TRUE,8212001,16.66535345,86.99314503,5.913388879,92.90653391,180,0.12,5.22
22,2022-12-23T00:00:00Z,AzureDiagnostics,Azure,TRUE,8212841,16.66530129,86.99287272,5.913370368,92.90624308,180,0.12,5.22
23,2023-01-01T00:00:00Z,AzureDiagnostics,Azure,TRUE,8208821,16.66341492,86.9830259,5.912701027,92.89572692,180,0.12,5.22
24,2023-01-03T00:00:00Z,AzureDiagnostics,Azure,TRUE,8206814,16.66170983,86.97412529,5.912096006,92.8862213,180,0.12,5.22
25,2023-01-02T00:00:00Z,AzureDiagnostics,Azure,TRUE,8211704,16.66141782,86.97260103,5.911992394,92.88459343,180,0.12,5.22
26,2023-01-17T00:00:00Z,AzureDiagnostics,Azure,TRUE,8336326,16.65514667,86.93986561,5.909767192,92.8496328,180,0.12,5.22
27,2022-12-24T00:00:00Z,AzureDiagnostics,Azure,TRUE,8210478,16.65481469,86.9381327,5.909649397,92.8477821,180,0.12,5.22
28,2022-12-30T00:00:00Z,AzureDiagnostics,Azure,TRUE,8207861,16.65472263,86.93765214,5.90961673,92.84726887,180,0.12,5.22
29,2022-12-25T00:00:00Z,AzureDiagnostics,Azure,TRUE,8205861,16.65328455,86.93014536,5.909106455,92.83925181,180,0.12,5.22
30,2023-01-15T00:00:00Z,AzureDiagnostics,Azure,TRUE,8285920,16.65190326,86.92293502,5.90861633,92.83155135,180,0.12,5.22
31,2022-12-19T00:00:00Z,AzureDiagnostics,Azure,TRUE,8186969,16.64991642,86.91256371,5.907911336,92.82047504,180,0.12,5.22
32,2023-01-04T00:00:00Z,AzureDiagnostics,Azure,TRUE,8202738,16.64908702,86.90823425,5.907617039,92.81585128,180,0.12,5.22
33,2022-12-18T00:00:00Z,AzureDiagnostics,Azure,TRUE,8169516,16.64566946,86.89039458,5.906404382,92.79679896,180,0.12,5.22
34,2022-12-15T00:00:00Z,AzureDiagnostics,Azure,TRUE,8188789,16.64147331,86.86849067,5.904915456,92.77340612,180,0.12,5.22
35,2022-12-17T00:00:00Z,AzureDiagnostics,Azure,TRUE,8169336,16.63723319,86.84635726,5.90341093,92.74976819,180,0.12,5.22
36,2022-12-16T00:00:00Z,AzureDiagnostics,Azure,TRUE,8171828,16.63620019,86.84096498,5.903044387,92.74400936,180,0.12,5.22
37,2022-12-26T00:00:00Z,AzureDiagnostics,Azure,TRUE,8202130,16.63503001,86.83485668,5.902629174,92.73748585,180,0.12,5.22
38,2023-01-06T00:00:00Z,AzureDiagnostics,Azure,TRUE,8190527,16.63227616,86.82048155,5.901652019,92.72213357,180,0.12,5.22
39,2023-01-16T00:00:00Z,AzureDiagnostics,Azure,TRUE,8266084,16.60701427,86.68861451,5.892688312,92.58130282,180,0.12,5.22
40,2022-12-14T00:00:00Z,AzureDiagnostics,Azure,TRUE,8142809,16.51150397,86.19005073,5.858798268,92.048849,180,0.12,5.22
41,2022-10-27T00:00:00Z,AzureDiagnostics,Azure,TRUE,9195578,16.4715076,85.98126968,5.844606305,91.82587598,180,0.12,5.22
42,2023-01-18T00:00:00Z,AzureDiagnostics,Azure,TRUE,8471998,16.36383518,85.41921964,5.80640076,91.2256204,180,0.12,5.22
43,2022-10-29T00:00:00Z,AzureDiagnostics,Azure,TRUE,8184385,14.39122845,75.12221249,5.106458167,80.22867065,180,0.12,5.22
44,2022-10-30T00:00:00Z,AzureDiagnostics,Azure,TRUE,8177615,14.38267553,75.07756625,5.103423323,80.18098957,180,0.12,5.22
45,2022-10-28T00:00:00Z,AzureDiagnostics,Azure,TRUE,8166208,14.36477281,74.98411406,5.097070879,80.08118494,180,0.12,5.22
46,2022-10-31T00:00:00Z,AzureDiagnostics,Azure,TRUE,8044913,14.1623285,73.92735475,5.025237302,78.95259205,180,0.12,5.22
47,2022-12-13T00:00:00Z,AzureDiagnostics,Azure,TRUE,7829821,14.00665246,73.11472585,4.969998574,78.08472442,180,0.12,5.22
48,2022-11-30T00:00:00Z,AzureDiagnostics,Azure,TRUE,7790959,13.95930387,72.86756618,4.95319781,77.82076399,180,0.12,5.22
49,2022-11-22T00:00:00Z,AzureDiagnostics,Azure,TRUE,7771708,13.91807366,72.65234449,4.938568042,77.59091254,180,0.12,5.22
50,2022-12-03T00:00:00Z,AzureDiagnostics,Azure,TRUE,7760612,13.89070491,72.50947961,4.928856753,77.43833636,180,0.12,5.22
51,2022-11-27T00:00:00Z,AzureDiagnostics,Azure,TRUE,7759965,13.88088831,72.458237,4.925373519,77.38361052,180,0.12,5.22
52,2022-11-29T00:00:00Z,AzureDiagnostics,Azure,TRUE,7748918,13.87590716,72.4322354,4.923606051,77.35584145,180,0.12,5.22
53,2022-12-05T00:00:00Z,AzureDiagnostics,Azure,TRUE,7860503,13.87212492,72.4124921,4.922263994,77.3347561,180,0.12,5.22
54,2022-11-20T00:00:00Z,AzureDiagnostics,Azure,TRUE,7750535,13.87034608,72.40320654,4.921632805,77.32483935,180,0.12,5.22
55,2022-11-19T00:00:00Z,AzureDiagnostics,Azure,TRUE,7770356,13.86490264,72.37479177,4.919701301,77.29449308,180,0.12,5.22
56,2022-11-23T00:00:00Z,AzureDiagnostics,Azure,TRUE,7768946,13.86193689,72.35931055,4.91864896,77.27795951,180,0.12,5.22
57,2022-11-18T00:00:00Z,AzureDiagnostics,Azure,TRUE,7767469,13.85675032,72.33223668,4.916808604,77.24904529,180,0.12,5.22
58,2022-11-24T00:00:00Z,AzureDiagnostics,Azure,TRUE,7744855,13.85014245,72.29774361,4.914463926,77.21220753,180,0.12,5.22
59,2022-11-25T00:00:00Z,AzureDiagnostics,Azure,TRUE,7746317,13.84398123,72.265582,4.912277729,77.17785973,180,0.12,5.22
60,2022-12-01T00:00:00Z,AzureDiagnostics,Azure,TRUE,7717655,13.83155909,72.20073847,4.907869968,77.10860844,180,0.12,5.22
61,2022-12-02T00:00:00Z,AzureDiagnostics,Azure,TRUE,7727397,13.8296597,72.19082362,4.907196003,77.09801962,180,0.12,5.22
62,2022-11-26T00:00:00Z,AzureDiagnostics,Azure,TRUE,7741979,13.82670282,72.17538871,4.906146809,77.08153552,180,0.12,5.22
63,2022-11-28T00:00:00Z,AzureDiagnostics,Azure,TRUE,7743954,13.81589265,72.11895961,4.902311022,77.02127063,180,0.12,5.22
64,2022-11-21T00:00:00Z,AzureDiagnostics,Azure,TRUE,7743634,13.8153202,72.11597142,4.902107899,77.01807932,180,0.12,5.22
65,2022-12-04T00:00:00Z,AzureDiagnostics,Azure,TRUE,7724125,13.8015015,72.04383785,4.897204594,76.94104244,180,0.12,5.22
66,2022-12-06T00:00:00Z,AzureDiagnostics,Azure,TRUE,7779930,13.63183959,71.15820265,4.837003238,75.99520589,180,0.12,5.22
67,2022-11-12T00:00:00Z,AzureDiagnostics,Azure,TRUE,7774544,13.60419356,71.01389041,4.827193564,75.84108397,180,0.12,5.22
68,2022-12-12T00:00:00Z,AzureDiagnostics,Azure,TRUE,7755121,13.59392046,70.9602648,4.823548345,75.78381315,180,0.12,5.22
69,2022-11-01T00:00:00Z,AzureDiagnostics,Azure,TRUE,7719755,13.57437223,70.85822307,4.816612023,75.67483509,180,0.12,5.22
70,2022-11-08T00:00:00Z,AzureDiagnostics,Azure,TRUE,7748973,13.57428292,70.85775682,4.81658033,75.67433715,180,0.12,5.22
71,2022-11-03T00:00:00Z,AzureDiagnostics,Azure,TRUE,7754650,13.57061373,70.83860365,4.815278386,75.65388203,180,0.12,5.22
72,2022-11-04T00:00:00Z,AzureDiagnostics,Azure,TRUE,7738826,13.56040486,70.78531335,4.81165596,75.59696931,180,0.12,5.22
73,2022-11-13T00:00:00Z,AzureDiagnostics,Azure,TRUE,7739681,13.554904,70.75659887,4.809704083,75.56630296,180,0.12,5.22
74,2022-11-16T00:00:00Z,AzureDiagnostics,Azure,TRUE,7743814,13.55393878,70.75156044,4.809361594,75.56092204,180,0.12,5.22
75,2022-11-11T00:00:00Z,AzureDiagnostics,Azure,TRUE,7738018,13.55068757,70.73458912,4.808207963,75.54279708,180,0.12,5.22
76,2022-11-17T00:00:00Z,AzureDiagnostics,Azure,TRUE,7737842,13.54724463,70.71661698,4.8069863,75.52360328,180,0.12,5.22
77,2022-12-08T00:00:00Z,AzureDiagnostics,Azure,TRUE,7746800,13.54180512,70.68822274,4.805056192,75.49327893,180,0.12,5.22
78,2022-11-14T00:00:00Z,AzureDiagnostics,Azure,TRUE,7731384,13.53990625,70.67831063,4.804382413,75.48269304,180,0.12,5.22
79,2022-12-07T00:00:00Z,AzureDiagnostics,Azure,TRUE,7729454,13.53112403,70.63246744,4.801266207,75.43373365,180,0.12,5.22
80,2022-11-02T00:00:00Z,AzureDiagnostics,Azure,TRUE,7731271,13.53011773,70.62721456,4.80090914,75.4281237,180,0.12,5.22
81,2022-11-10T00:00:00Z,AzureDiagnostics,Azure,TRUE,7719387,13.528395,70.61822188,4.800297859,75.41851973,180,0.12,5.22
82,2022-11-15T00:00:00Z,AzureDiagnostics,Azure,TRUE,7729680,13.52783654,70.61530675,4.800099703,75.41540645,180,0.12,5.22
83,2022-11-06T00:00:00Z,AzureDiagnostics,Azure,TRUE,7719507,13.52555603,70.60340248,4.799290506,75.40269299,180,0.12,5.22
84,2022-11-05T00:00:00Z,AzureDiagnostics,Azure,TRUE,7718390,13.52500954,70.60054979,4.799096594,75.39964639,180,0.12,5.22
85,2022-11-07T00:00:00Z,AzureDiagnostics,Azure,TRUE,7718560,13.52206662,70.58518778,4.798052355,75.38324013,180,0.12,5.22
86,2022-11-09T00:00:00Z,AzureDiagnostics,Azure,TRUE,7718628,13.52126494,70.58100298,4.797767892,75.37877087,180,0.12,5.22
87,2022-12-09T00:00:00Z,AzureDiagnostics,Azure,TRUE,7723916,13.49593682,70.44879021,4.788780684,75.2375709,180,0.12,5.22
88,2022-12-10T00:00:00Z,AzureDiagnostics,Azure,TRUE,7719111,13.46771383,70.30146618,4.778766282,75.08023246,180,0.12,5.22
89,2022-12-11T00:00:00Z,AzureDiagnostics,Azure,TRUE,7724688,13.46569391,70.29092219,4.778049551,75.06897174,180,0.12,5.22
90,2022-10-21T00:00:00Z,AzureDiagnostics,Azure,TRUE,2263884,4.087795669,21.33829339,1.450477814,22.78877121,180,0.12,5.22
91,2022-10-31T00:00:00Z,CommonSecurityLog,OpsManager,TRUE,2017473,1.982177917,10.34696873,0.703338749,11.05030748,180,0.12,5.22
92,2022-10-27T00:00:00Z,CommonSecurityLog,OpsManager,TRUE,1775451,1.745993371,9.114085397,0.619533082,9.733618479,180,0.12,5.22
93,2022-10-28T00:00:00Z,CommonSecurityLog,OpsManager,TRUE,1741394,1.711989857,8.936587055,0.607467571,9.544054626,180,0.12,5.22
